Timestamp,Your Name,Pickup Coordinate,Drop Coordinate,Fare for Bike,"[Waiting Time of Bike, No. of bikes available]",Fare for Auto,"[Waiting Time of Auto, No. of Auto Available]",Fare for Car,"[Waiting Time of Car, No. of cars available]",Platform,  Is a Surge/High-Demand alert visible?  ,Hour,Minute,DecimalHour,Day,Weekend,Rushhour,DistanceKm,Duration,TrafficLevel,SurgeValue,PickupTemperature,PickupWindSpeed,PickupWeatherCode,PickupHumidity,DropTemperature,DropWindSpeed,DropWeatherCode,DropHumidity,PickupZone,DropZone,BikeWait,BikeSupply,AutoWait,AutoSupply,CarWait,CarSupply,priceKmBike,priceKmAuto,priceKmCar
14-03-2026 17:26,Prakhar,"28.528143, 77.219013","28.567811, 77.207901",73,"5,8",185,"5,8",186,"5,8",RAPIDO,,17,26,17.43,6,1,1,7.291,21.63333333,HEAVY,0,30.5,4.7,3,27,31.1,4.7,3,25,RESIDENTIAL,TRANSIT_HUB,5,8,5,8,5,8,10.01,25.37,25.51
14-03-2026 17:30,Prakhar,"28.667836, 77.229014","28.608447, 77.293078",97,"6,8",161,"6,8",195,"6,8",RAPIDO,,17,30,17.5,6,1,1,11.499,20.13333333,NORMAL,0,30.3,4.5,3,27,30.3,4.5,3,27,TRANSIT_HUB,RESIDENTIAL,6,8,6,8,6,8,8.44,14,16.96
14-03-2026 17:34,Prakhar,"28.699000, 77.138722","28.651651, 77.191570",86,"4,8",132,"4,8",184,"4,8",RAPIDO,,17,34,17.57,6,1,1,9.722,24.83333333,MODERATE,0,30.1,6.5,3,30,30.8,4.3,3,26,RESIDENTIAL,RESIDENTIAL,4,8,4,8,4,8,8.85,13.58,18.93
14-03-2026 17:38,Prakhar,"28.630420, 77.217713","28.554785, 77.063985",216,"4,8",460,"4,8",390,"4,7",RAPIDO,,17,38,17.63,6,1,1,24.509,43.48333333,NORMAL,0,30.9,4.3,3,26,30.2,4.2,3,33,RESIDENTIAL,RESIDENTIAL,4,8,4,8,4,7,8.81,18.77,15.91
14-03-2026 17:42,Prakhar,"28.529352, 77.148457","28.630770, 77.223434",155,"2,8",261,"2,8",277,"2,7",RAPIDO,,17,42,17.7,6,1,1,16.737,36.11666667,MODERATE,0,29.5,4.5,3,34,30.3,4.5,3,27,RESIDENTIAL,TRANSIT_HUB,2,8,2,8,2,7,9.26,15.59,16.55
14-03-2026 17:46,Prakhar,"28.612767, 77.243334","28.629468, 77.078967",192,"3,7",540,"3,8",430,"3,8",RAPIDO,,17,46,17.77,6,1,1,21.732,43.2,NORMAL,0,30.6,4,2,28,29.6,3.9,1,35,RELIGIOUS,TRANSIT_HUB,3,7,3,8,3,8,8.83,24.85,19.79
14-03-2026 17:50,Prakhar,"28.736388, 77.117084","28.816333, 77.134276",118,"2,8",227,"2,8",231,"2,8",RAPIDO,,17,50,17.83,6,1,1,15.486,24.68333333,NORMAL,0,29.5,6.2,2,32,28.2,5.4,3,39,RESIDENTIAL,EDUCATION,2,8,2,8,2,8,7.62,14.66,14.92
14-03-2026 17:52,Prakhar,"28.527654, 77.211685","28.529352, 77.148457",83,"5,8",174,"5,8",189,"5,8",RAPIDO,,17,52,17.87,6,1,1,9.454,22.35,MODERATE,0,29.9,4.2,1,30,29.4,3.9,1,35,RESIDENTIAL,RESIDENTIAL,5,8,5,8,5,8,8.78,18.4,19.99
14-03-2026 18:33,Prakhar,"28.528143, 77.219013","28.567811, 77.207901",71,"5,8",157,"5,8",191,"5,8",RAPIDO,,18,33,18.55,6,1,1,7.291,21.63333333,HEAVY,0,27.9,3.4,1,37,28.7,3.6,2,34,RESIDENTIAL,TRANSIT_HUB,5,8,5,8,5,8,9.74,21.53,26.2
14-03-2026 18:34,Prakhar,"28.667836, 77.229014","28.608447, 77.293078",98,"6,8",161,"6,8",196,"6,8",RAPIDO,,18,34,18.57,6,1,1,11.499,20.13333333,NORMAL,0,28.7,3.6,2,34,28.7,3.6,2,34,TRANSIT_HUB,RESIDENTIAL,6,8,6,8,6,8,8.52,14,17.04
